City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,12.66,broken clouds
199,Westport,US,41.1415,-73.3579,75.85,75,58,1.99,broken clouds
200,Hovd,MN,48.0056,91.6419,74.16,42,1,0.38,clear sky
201,Divnogorsk,RU,55.9594,92.3619,68.49,61,100,8.68,overcast clouds
202,Hasaki,JP,35.7333,140.8333,88.29,71,10,9.35,clear sky
203,Port Lincoln,AU,-34.7333,135.8667,54.18,72,100,30.98,light rain
204,Saint-Joseph,RE,-21.3667,55.6167,64.78,68,19,6.98,few clouds
205,Makakilo City,US,21.3469,-158.0858,82.56,65,90,8.05,overcast clouds
206,Sao Filipe,CV,14.8961,-24.4956,73.99,74,21,9.46,few clouds
207,College,US,64.8569,-147.8028,75.52,64,75,4.61,light rain
208,Curuguaty,PY,-24.4694,-55.6945,64.8,62,0,5.88,clear sky
209,Macon,US,39.8667,-88.9668,80.46,90,0,5.99,clear sky
210,Oksbol,DK,55.6268,8.2876,54.21,92,0,6.85,clear sky
211,Nikolskoye,RU,59.7035,30.7861,54.01,74,91,4.09,overcast clouds
212,Astoria,US,46.1879,-123.8313,79.75,73,1,1.99,clear sky
213,Garbolovo,RU,60.3413,30.4955,53.31,77,78,4.43,broken clouds
214,Marzuq,YE,14.4,46.4667,69.69,84,100,6.44,overcast clouds
215,Pandan,PH,14.0453,124.1694,87.42,69,100,18.34,overcast clouds
216,Kilgore,US,32.3863,-94.8758,86.22,80,100,1.01,overcast clouds
217,Komsomolskiy,UZ,40.4272,71.7189,81.32,36,0,2.3,clear sky
218,Mahon,ES,39.8885,4.2658,79.36,78,0,10.36,clear sky
219,Guerrero Negro,MX,27.9769,-114.0611,71.71,78,56,16.2,broken clouds
220,Kaitangata,NZ,-46.2817,169.8464,53.92,51,14,5.64,few clouds
221,Tuatapere,NZ,-46.1333,167.6833,56.82,66,87,5.14,overcast clouds
222,Kabinda,CD,-6.1333,24.4833,69.55,37,0,8.16,clear sky
223,Hofn,IS,64.2539,-15.2082,53.49,99,100,5.1,overcast clouds
224,Grand Gaube,MU,-20.0064,57.6608,68.38,76,39,5.01,scattered clouds
225,Bethel,US,41.3712,-73.414,71.94,83,29,3.6,scattered clouds
226,Ahvaz,IR,31.3203,48.6693,93.15,26,0,6.91,clear sky
227,Worland,US,44.0169,-107.9554,89.67,11,96,13.8,overcast clouds
228,Nhulunbuy,AU,-12.2333,136.7667,84.81,54,90,9.22,overcast clouds
229,Pangnirtung,CA,66.1451,-65.7125,44.28,75,16,0.94,few clouds
230,Alta,NO,69.9689,23.2717,48.18,74,20,11.99,few clouds
231,Vrangel,RU,42.7297,133.0839,79.66,77,87,8.72,overcast clouds
232,Flinders,AU,-34.5833,150.8552,63.37,62,86,14.43,overcast clouds
233,Namibe,AO,-15.1961,12.1522,64.38,84,0,3.76,clear sky
234,Charters Towers,AU,-20.1,146.2667,76.69,29,4,7.43,clear sky
235,Bungu,TZ,-7.6337,39.0582,65.26,93,50,4.61,scattered clouds
236,Cidreira,BR,-30.1811,-50.2056,59.85,81,0,6.62,clear sky
237,Bud,US,39.447,-86.1758,78.82,86,22,5.01,few clouds
238,Raudeberg,NO,61.9875,5.1352,57.87,91,38,6.6,scattered clouds
239,Antofagasta,CL,-23.65,-70.4,56.48,73,100,4.74,overcast clouds
240,Kupang,ID,-10.1667,123.5833,84.78,51,20,8.05,few clouds
241,Port-Gentil,GA,-0.7193,8.7815,74.16,81,100,10.49,overcast clouds
242,Clifton,US,40.8584,-74.1638,75.63,71,1,1.01,clear sky
243,Mecca,SA,21.4267,39.8261,88.59,34,99,1.43,overcast clouds
244,Aksu,CN,41.1231,80.2644,82.11,42,1,5.23,clear sky
245,Paamiut,GL,61.994,-49.6678,42.37,91,100,12.59,light rain
246,Aksehir,TR,38.3575,31.4164,60.73,79,0,5.08,clear sky
247,Kalemie,CD,-5.9475,29.1947,73.17,62,0,14.03,clear sky
248,Kieta,PG,-6.2167,155.6333,84.94,68,100,4.83,light rain
249,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,93,0,14.97,clear sky
250,Rawson,AR,-43.3002,-65.1023,46.33,41,38,10.18,scattered clouds
251,Quelimane,MZ,-17.8786,36.8883,71.55,56,75,8.99,broken clouds
252,Santa Maria,BR,-29.6842,-53.8069,56.5,94,0,2.3,clear sky
253,Cockburn Town,TC,21.4612,-71.1419,81.75,83,12,19.66,few clouds
254,Coihueco,CL,-36.6167,-71.8333,43.54,100,100,2.3,overcast clouds
255,Yerbogachen,RU,61.2767,108.0108,75.02,45,100,4.97,overcast clouds
256,Pakokku,MM,21.3333,95.1,84.61,69,66,11.81,broken clouds
257,Kandrian,PG,-6.2167,149.55,83.68,77,100,9.71,moderate rain
258,Terekli-Mekteb,RU,44.1671,45.8698,73.2,71,60,10.87,broken clouds
259,Tautira,PF,-17.7333,-149.15,82.42,66,0,7.47,clear sky
260,Gladstone,AU,-23.85,151.25,76.93,47,40,8.05,scattered clouds
261,Berdigestyakh,RU,62.0989,126.6992,59.99,97,100,8.21,moderate rain
262,Cabo San Lucas,MX,22.8909,-109.9124,94.3,67,0,8.01,clear sky
263,Port Elizabeth,ZA,-33.918,25.5701,43.09,87,0,4.61,clear sky
264,Laguna,US,38.421,-121.4238,103.75,17,1,5.01,clear sky
265,Port Hawkesbury,CA,45.6169,-61.3485,61.59,94,40,1.01,scattered clouds
266,Pevek,RU,69.7008,170.3133,40.21,93,90,5.61,overcast clouds
267,Kathu,TH,7.9178,98.3332,87.62,76,100,17.43,overcast clouds
268,Umm Kaddadah,SD,13.6017,26.6876,83.89,53,98,10.22,overcast clouds
269,Vardo,NO,70.3705,31.1107,46.02,82,100,36.48,overcast clouds
270,Williston,US,48.147,-103.618,90.01,19,0,4.88,clear sky
271,Longyearbyen,SJ,78.2186,15.6401,42.42,84,69,4.03,broken clouds
272,Roros,NO,62.5747,11.3842,39.04,93,90,1.14,fog
273,Mehamn,NO,71.0357,27.8492,44.58,90,100,32.84,overcast clouds
274,Bambous Virieux,MU,-20.3428,57.7575,68.22,94,75,6.91,light rain
275,Dubbo,AU,-32.25,148.6167,51.93,82,75,14.97,broken clouds
276,Palm Coast,US,29.585,-81.2078,78.78,78,68,1.01,broken clouds
277,Kulhudhuffushi,MV,6.6221,73.07,81.36,80,98,12.84,overcast clouds
