City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
108,Naze,JP,77.92,heavy intensity rain,28.3667,129.4833,奄美ポートタワーホテル
109,Dauphin,CA,73.54,clear sky,51.1494,-100.0502,Canway Inn & Suites
111,Zarubino,RU,81.48,broken clouds,42.63,131.0922,"""Okean"" Baza Otdykha"
117,Illora,ES,78.24,clear sky,37.2877,-3.8811,Cortijo Villa Paraiso en Illora -Granada
119,Tono,JP,79.63,overcast clouds,39.3167,141.5333,Aeria Tono
127,Salalah,OM,77.45,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
129,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
130,Bundaberg,AU,75.49,scattered clouds,-24.85,152.35,Takalvan Motel
138,Sarangani,PH,84.25,broken clouds,5.4033,125.4636,Ballistic Islet
141,Turbat,PK,82.87,broken clouds,26.0023,63.044,Mubashar Quarters
146,Zhezkazgan,KZ,81.95,clear sky,47.8043,67.7144,Hotel Zumrat
148,Sao Miguel Do Araguaia,BR,74.43,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
150,Moirang,IN,75.25,overcast clouds,24.5,93.7667,"Lake view hotel, moirang"
153,Kamaishi,JP,83.35,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
155,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
156,Benjamin Constant,BR,77.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
157,Sinnamary,GF,78.55,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
159,Boa Vista,BR,78.78,thunderstorm,2.8197,-60.6733,Aipana Plaza Hotel
161,Buala,SB,83.71,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
163,Moussoro,TD,80.28,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
166,Hopelchen,MX,79.23,overcast clouds,19.7667,-89.85,Hotel Jaguar
